期间,营收(亿元),营业成本(亿元),营业利润(亿元),归母净利润(亿元),总资产(亿元),总负债(亿元),归母权益(亿元),货币资金(亿元),有息负债(亿元),经营现金流(亿元),资本开支(亿元),自由现金流(亿元),毛利率(%),营业利润率(%),净利率(%),ROE(%),ROA(%),ROIC(%),杜邦ROE(%),资产周转率,权益乘数,资产负债率(%),流动比率,速动比率,债务/EBITDA,利息保障倍数,经营现金流/净利润,FCF利润率(%),资本开支/营收(%),资本开支/折旧摊销,营收同比(%),归母净利润同比(%),经营现金流同比(%),每股收益,每股净资产,每股经营现金流,每股自由现金流,股息率(%),估算总股本(亿股)
2018年报,2277.102148,1300.411773,743.968971,526.753613,6863.80004,,4199.010535,289.271913,1384.417713,1243.970902,512.666882,731.30402,42.89181211558015,32.67174341095918,23.132629928905587,12.5447,,,12.544708059419046,0.3317553155292676,1.6346232005821817,,2.6725,2.5907,1.059736860477464,,2.3615801985965685,32.115556196822844,22.514004584742942,1.0084274971783547,,,,1.18,9.4048,2.7862,1.638085256301298,,446.43831399303497
2019年报,2331.985562,1293.836966,854.245895,610.45459,7577.30423,,4481.874143,508.388469,1380.565847,1235.18426,720.137415,515.046845,44.517796890202185,36.631697422147255,26.177460098700223,13.6205,8.4544,11.1133,14.064340505457409,0.322964991928557,1.6635521384817087,,2.314,2.243,0.9303081448782059,,2.023384343788782,22.086193559375047,30.880869364490522,1.2480981508851885,2.4102306542640006,15.889967327096443,-0.7063382259081208,1.37,10.0384,2.7665,1.2469,,446.03012505577124
2020年报,1553.73,973.81,347.66,249.56,7212.76,,4337.1,658.31,1250.1399999999999,823.38,754.18,69.20000000000005,37.32437424777793,22.375831064599385,16.061992752923608,5.7543,3.3747,4.8189,5.659615187738961,0.21010456423149693,1.6770730915159233,,2.2771,2.1984,1.3621495581681684,,3.2993268151947426,4.453798278980263,48.53996511620423,1.4418613543379346,-33.37308663834686,-59.118990324898704,-33.33950029447429,0.56,9.71,1.8442,0.5237,,446.15304546123286
2021年报,2461.11,1215.85,958.04,703.07,7865.69,,4809.12,797.3,1171.96,1478.93,824.37,654.5600000000001,50.59749462640841,38.927150757178666,28.567191226722905,14.6222,9.3255,12.3768,15.374001500073255,0.326440715060235,1.6485990933959602,,2.2137,2.153,0.7464665830153948,,2.1035316540316042,26.596129388771732,33.49586162341382,1.4402998113075687,58.400108126894644,181.72383394774806,79.6169447885545,1.57,10.7713,3.3125,0.4202,,447.1453212154191
2022年报,4222.3,1982.23,1949.25,1416.77,9290.31,,5971.82,1213.87,1074.48,2055.74,947.54,1108.1999999999998,53.05331217582834,46.16559694952988,33.55446083887928,23.7281,16.5163,21.4155,26.28286587254915,0.49222429470739104,1.5913269158347976,,2.3342,2.2792,0.4136417707046092,,1.451004750241747,26.246358619709632,22.44132344930488,1.5075733469102013,71.56079980171548,101.51194048956715,39.00184592915146,3.03,12.5546,4.3218,1.2612,8.4583,471.6243703871128
2023年报,4166.09,2087.94,1728.91,1240.9,10055.98,,6665.86,1505.62,925.73,2097.43,1208.75,888.6799999999998,49.88250373851741,41.49958354236226,29.78572234397241,18.5787,12.8283,16.5178,19.63809813193561,0.43068619358026783,1.5308418950313665,,2.0193,1.9673,0.3819349036013846,,1.6902490128132803,21.33127224807913,29.014015539750698,1.7531582229828708,-1.3312649503824936,-12.413447489712503,2.0279801920476404,2.6,14.0137,4.4094,1.6077,5.4433,476.46830670097006
2024年报,4205.06,1949.93,1899.64,1379.82,10562.81,,7475.48,1541.96,655.46,2208.91,1233.59,975.3199999999999,53.62896129900643,45.17509857172073,32.81332489905019,18.4518,13.3841,17.0302,19.514699455638578,0.4078862047675931,1.45805065149413,,2.2259,2.1777,0.2479553312703805,,1.6008682291893146,23.19396156059604,29.335847764360075,1.6534729110259228,0.9354094606693675,11.195100330405339,5.315076069284785,2.9,15.7279,4.6474,0.7848,4.3429,475.5502902485392
