序号,字段代码,字段名称,展示名称,层级,单位代码,单位说明,公式,2025三季报,2025半年报,2025一季报,2024年报,2024三季报,2024半年报,2024一季报,2023年报,2023三季报,2023半年报,2023一季报,2022年报,2022三季报,2022半年报,2022一季报,2021年报,2021三季报,2021半年报,2021一季报,2020年报,2020三季报,2020半年报,2020一季报,2019年报,2019三季报,2019半年报,2019一季报,2018年报,2018三季报,2018半年报,2018一季报,2017年报,2017三季报,2017半年报,2017一季报,2016年报,2016三季报,2016半年报,2016一季报,2015年报,2015三季报,2015半年报,2015一季报,2014年报,2014三季报,2014半年报,2014一季报,2013年报,2013三季报,2013半年报,2013一季报,2012年报,2012三季报,2012半年报,2012一季报,2011年报,2011三季报,2011半年报,2011一季报,2010年报,2010三季报,2010半年报,2010一季报,2009年报,2009三季报,2009半年报,2009一季报,2008年报,2008三季报,2008半年报,2008一季报,2007年报,2007三季报,2007半年报,2007一季报,2006年报,2006三季报,2006半年报,2006一季报,2005年报,2005三季报,2005半年报,2005一季报,2004年报,2004三季报,2004半年报,2004一季报,2003年报,2003一季报
13,refundOfTax,收到的税费返还,收到的税费返还,2,0,金额类,,97650.0,,,5496922.7,4031143.51,4031143.51,,4285513.8,2151635.09,2118112.0,,2946593976.34,2940441644.57,88905325.84,,,,,,,,,,,,,,598288870.92,598578112.44,598288870.92,598288870.92,2290638487.36,1971729865.42,965891864.8,525251786.19,2870679180.56,1781337506.64,1139743948.58,816038787.41,3430052521.8,2222431689.11,1408121816.9,589836440.26,1880688022.24,1274546689.82,591746760.36,299138677.18,1995021463.32,1410649530.7,716003064.79,426262909.0,2135704708.55,1430026843.08,671373002.65,376819374.4,1719639030.76,1184893574.94,635269940.86,339363212.24,1846780565.23,1158135076.96,516417631.84,272492543.85,810591465.93,488598489.72,261591627.16,135493951.41,725542273.79,469394841.97,226424738.82,105086993.53,742223752.83,475387613.5,214507172.72,99883721.63,619805757.55,438911488.07,231801350.2,116701288.31,633659731.32,387493213.19,189717798.16,102386604.26,512872246.15,412144041.1,234171810.33,100772621.03,218525831.0,12742128.61
14,CFrOthOperateA,收到其他与经营活动有关的现金,收到其他与经营活动有关的现金,2,0,金额类,,379985618.98,243513400.58,112336018.32,584335658.49,361630585.49,246705828.13,114648654.83,586990399.65,397245322.26,219028556.84,97672496.92,531760078.03,421344934.03,208713255.41,98160132.16,701153868.69,390497945.47,121117900.48,25787746.47,528865293.99,241094914.77,68216406.28,20472351.49,196076781.07,107354803.44,61736253.4,40246180.01,132341239.42,74415646.87,34003803.74,18378466.12,145752628.57,157087229.36,59009330.56,23025170.39,234185536.21,167917933.95,121913428.7,32249474.51,100344122.79,244325251.98,124772990.94,11147748.67,270001860.32,203041755.29,26566705.1,29313765.27,499425988.29,392815629.67,167019646.04,55173588.16,34125140.38,227424419.3,22055551.41,36699606.8,78586922.09,231034770.19,116442076.27,127302593.0,23842333.2,90323355.89,32033614.06,18218704.29,81841875.36,33339971.04,27519344.06,12077069.46,56406975.5,29945284.12,18998648.22,11055643.14,39950110.72,27501767.82,23309855.02,13720488.69,20765196.33,16229726.28,14140179.81,2938749.85,21361385.37,18399511.37,10078447.37,6810632.25,15754565.05,11156377.13,4124987.86,421843.07,10161204.15,2251462.79
15,specOCIF,经营活动现金流入的特殊项目,经营活动现金流入的特殊项目,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AOCIF,经营活动现金流入的差错金额,经营活动现金流入的差错金额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,CInfFrOperateA,经营活动现金流入小计,经营活动现金流入小计,2,0,金额类,,69318251074.4,39639034634.28,19133050961.8,95499902785.87,71721474638.77,36458830973.71,18499881541.0,96859144457.56,57144291337.8,37311608517.54,13158493284.0,74759142644.86,57721488747.03,31687737675.89,11484671132.37,63562425672.18,40369934712.2,21733231397.28,10750873103.15,66228760307.34,43424088054.07,19877732152.67,8489116717.24,56619180876.95,40020110270.99,21226423496.93,9127272662.34,60840312661.59,42894277960.67,21344379952.4,10195896214.53,60713601328.71,41908844729.81,21574328161.3,9432652468.91,60361500198.83,43117381512.97,21908996975.13,9959611299.93,59194382101.95,39483810432.43,21662901058.42,4972247509.16,33085270185.82,21743286756.39,10326403833.4,4385798515.88,29001667440.43,21346390885.57,10039880829.22,4379399591.56,32705032497.0,23045737073.52,10644471785.98,4663500153.69,26457203755.24,16938877336.68,9395692635.16,4358896778.78,27240145309.96,16590265688.53,7994965762.44,3551898978.92,25604201110.8,16203910715.33,8711682548.51,3893153109.1,23829585664.57,13600229417.79,6756270317.51,2676522608.97,17854004580.62,10800766914.26,5564824743.07,1838633642.31,15599891494.63,9795162769.8,5417258006.86,1828932213.6,15406352418.31,9131730176.22,5046195608.24,1825839942.63,11662362857.75,7048638403.93,3522809777.0,769885408.17,3688880141.75,331088259.24
18,CPaidGS,购买商品、接受劳务支付的现金,购买商品、接受劳务支付的现金,2,0,金额类,,10207737348.95,6415489633.06,2679522209.05,13309731883.77,8980723939.3,5223414977.09,2543165364.48,12513307046.78,8226042550.1,4932778737.9,2114769034.67,10214938090.63,6322410323.8,3690992950.78,2024299422.32,11095390713.22,7140828647.28,4927709111.59,3011268433.01,9499436962.27,4828905629.5,2056666685.59,430119075.69,4970935679.15,3161356163.84,1389881565.21,577914389.78,5415244449.06,3268384426.54,1575471841.92,877561606.96,5587330639.12,3301254028.36,1801105951.13,672885014.71,6138261726.5,4092963595.11,2229739348.33,798381133.93,4730257742.7,2566766559.24,1757933934.36,455593255.28,2391783453.94,1428943989.15,1084532700.5,454423195.07,2119793239.23,1320200025.34,623400942.47,358138800.29,2435407895.87,1682183078.13,680168579.68,339587407.94,2220742199.42,1580518337.8,964441933.15,359009241.59,2492081270.2,2194913268.03,1570819471.03,230682916.31,13118656293.52,8341698657.81,3371634838.56,1770233838.82,13121399242.22,6511784198.37,2631336934.49,887775860.58,8570263901.45,4416458708.36,1776658600.23,362141278.69,6838575905.49,4251762475.24,2044759018.9,799137797.89,6597147362.22,3766688427.26,1850185665.49,909331412.67,3983832374.57,2034309029.22,721075727.93,169770866.15,768047441.84,26309386.92
19,NIncDisburOfLA,客户贷款及垫款净增加额,客户贷款及垫款净增加额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NIncrDeposInFI,存放中央银行和同业款项净增加额,存放中央银行和同业款项净增加额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,origContrCIndem,支付原保险合同赔付款项的现金,支付原保险合同赔付款项的现金,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CPaidIFC,支付利息、手续费及佣金的现金,支付利息、手续费及佣金的现金,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
