序号,字段代码,字段名称,展示名称,层级,单位代码,单位说明,公式,2025三季报,2025半年报,2025一季报,2024年报,2024三季报,2024半年报,2024一季报,2023年报,2023三季报,2023半年报,2023一季报,2022年报,2022三季报,2022半年报,2022一季报,2021年报,2021三季报,2021半年报,2021一季报,2020年报,2020三季报,2020半年报,2020一季报,2019年报,2019三季报,2019半年报,2019一季报,2018年报,2018三季报,2018半年报,2018一季报,2017年报,2017三季报,2017半年报,2017一季报,2016年报,2016三季报,2016半年报,2016一季报,2015年报,2015三季报,2015半年报,2015一季报,2014年报,2014三季报,2014半年报,2014一季报,2013年报,2013三季报,2013半年报,2013一季报,2012年报,2012三季报,2012半年报,2012一季报,2011年报,2011三季报,2011半年报,2011一季报,2010年报,2010三季报,2010半年报,2010一季报,2009年报,2009三季报,2009半年报,2009一季报,2008年报,2008三季报,2008半年报,2008一季报,2007年报,2007三季报,2007半年报,2007一季报,2006年报,2006三季报,2006半年报,2006一季报,2005年报,2005三季报,2005半年报,2005一季报,2004年报,2004三季报,2004半年报,2004一季报,2003年报,2003一季报
33,procSellInvest,收回投资收到的现金,收回投资收到的现金,2,0,金额类,,4413969408.84,3785335992.82,2619086515.97,51304202111.84,33725927519.85,12710722742.74,6460305804.91,74103029742.51,62529611177.16,50028752156.33,15645224138.43,114400141415.41,81694393309.29,34319980154.7,18044844186.94,140253288981.75,109290186035.36,83086741637.52,36217876174.01,91515324035.5,67089187668.07,43751416086.0,20947085006.62,74479542574.14,60686533364.06,41455967541.0,17504303243.73,57767277237.59,31016902086.9,17667406054.45,10138344707.16,70292144761.87,47668763363.35,20112346917.92,1089921597.48,1515109446.79,120514062.4,138522.08,138522.08,1768460059.33,1653049396.48,1594404613.57,1143194755.68,196186023.45,99195622.94,93832985.85,93839211.74,1900691454.82,1167618339.47,1143751425.64,8868250.73,4822780668.41,3987055130.42,2350649975.9,2100200120.0,7213172487.7,6614227682.9,6198231053.8,3947597848.0,5670065854.54,2619873779.85,1318778871.91,1000271995.31,6301891294.76,5251786138.24,866102020.56,844264012.54,14303258192.82,9089484224.72,6053505331.57,5496341820.0,4146753064.37,2949834135.6,2683335342.46,,666079780.0,266075900.0,266075900.0,66075900.0,1156375550.0,1145451450.0,912451450.0,219126150.0,3488267975.0,2501738785.0,1161269710.0,291813560.0,,0.0
34,gainInvest,取得投资收益收到的现金,取得投资收益收到的现金,2,0,金额类,,2312430175.02,958616551.28,149380775.58,2548040281.44,2123630768.98,515521491.45,714535.82,2150467314.51,1700376391.7,642186979.26,34007823.79,1740104203.83,1618618603.97,325878292.77,17771407.39,1973990756.86,1591131257.69,116326534.52,34937458.01,1588089130.39,1282393091.52,285088140.15,55402867.36,1401270454.59,969805691.27,242128631.42,66116153.78,1073519362.92,732836445.58,60618937.07,44510311.35,762806569.46,598569182.29,119158783.92,613794057.28,709120150.35,535345454.95,194259083.29,,581746558.07,392479396.18,3538846.9,12853.33,594431347.24,568193819.48,141085658.6,61077201.36,436987188.14,391018784.21,58030047.58,8133.86,444541524.34,340836777.44,49604880.35,17379927.92,705466131.26,790021296.24,679454336.09,25228458.96,330252882.8,313724356.45,106070238.25,,239058905.49,228951466.77,135880030.26,,382128982.48,198943178.31,107742356.63,8202906.03,491121148.6,265724282.67,71324241.27,,852935494.69,38710571.31,38649009.83,31680131.64,59873940.35,64565658.85,40702340.54,2996257.5,19671768.31,15677108.48,12176167.72,1478979.99,10687225.17,0.0
35,dispFixAssetsOth,处置固定资产、无形资产和其他长期资产收回的现金净额,处置固定资产、无形资产和其他长期资产收回的现金净额,2,0,金额类,,1293268.17,1056988.83,1045995.82,9541006.99,3426390.62,1998415.51,623266.79,6964001.35,5254524.37,3995698.08,58586.04,37035446.81,51494001.06,50086893.39,8243059.67,22040168.08,80820.37,84009.3,,11688319.11,23560.0,23560.0,705346.0,12178908.7,15672731.48,10247355.78,,925078.9,126272.0,126272.0,,4695408.36,27010.0,4541342.65,19600.0,25010567.18,11132072.86,7751254.86,3910466.28,37774371.68,1392558.91,236261.6,24233.73,47722831.15,13142836.45,10851810.25,21129.5,11991743.16,14797320.3,7355828.74,4203628.34,3953437.8,3690952.17,2176099.35,2014656.57,4925420.03,4689122.65,4651655.14,483689.13,1314398.48,3132875.08,1532352.07,3970.59,9480841.03,983167.38,873801.32,606218.3,4219036.46,4016574.24,3630425.44,1099303.78,3485787.72,2298721.84,1785083.82,1516332.86,3853476.17,3150263.19,2984378.95,,6375138.14,,854398.46,,2945284.4,2874203.2,1953381.6,869800.0,114500.23,0.0
36,NDispSubsOthBizC,处置子公司及其他营业单位收到的现金净额,处置子公司及其他营业单位收到的现金净额,2,0,金额类,,1800000.0,1800000.0,1800000.0,6980137.96,500000.0,500000.0,,2268630.0,2268630.0,2268630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31272726.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,CFrOthInvestA,收到其他与投资活动有关的现金,收到其他与投资活动有关的现金,2,0,金额类,,,,,,,,,5592027.34,,,,34202605.4,28750405.4,28750405.4,39889997.14,,,,,,,,,,,33684803.72,,,17909498.77,,,,,,,,,,,,,,,,,,,,,,,,,,405410.05,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,37837791.97,29926593.91,16093490.4,3537019.19,,0.0
38,specCIF,投资活动现金流入的特殊项目,投资活动现金流入的特殊项目,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ACIF,投资活动现金流入的差错金额,投资活动现金流入的差错金额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,CInfFrInvestA,投资活动现金流入小计,投资活动现金流入小计,2,0,金额类,,6729492852.03,4746809532.93,2771313287.37,53868763538.23,35853484679.45,13228742649.7,6461643607.52,76268321715.71,64237510723.23,50677203463.67,15679290548.26,116211483671.45,83393256319.72,34724695746.26,18110748651.14,142249319906.69,110881398113.42,83203152181.34,36252813632.02,93115101485.0,68371604319.59,44036527786.15,21003193219.98,75892991937.43,61672011786.81,41742028331.92,17570419397.51,58841721679.41,31767774303.25,17728151263.52,10182855018.51,71059646739.69,48267359555.64,20236047044.49,1703735254.76,2249240164.32,666991590.21,202148860.23,4048988.36,2387980989.08,2046921351.57,1598179722.07,1143231842.74,869612928.69,680532278.87,245770454.7,154937542.6,2349670386.12,1573434443.98,1209137301.96,13080012.93,5271275630.55,4331582860.03,2402430955.6,2120000114.54,7923564038.99,7408938101.79,6882337045.03,3973309996.09,6001633135.82,2936731011.38,1426381462.23,1000275965.9,6550431041.28,5481720772.39,1002855852.14,844870230.84,14689606211.76,9292443977.27,6164878113.64,5505644029.81,4641360000.69,3217857140.11,2756444667.55,1516332.86,1522868750.86,307936734.5,307709288.78,97756031.64,1222624628.49,1210017108.85,954008189.0,222122407.5,3548722819.68,2550216690.59,1191492749.72,297699359.18,10801725.4,0.0
41,purFixAssetsOth,购建固定资产、无形资产和其他长期资产支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,2,0,金额类,,8351159234.53,6211555134.29,4598291811.47,14420079512.74,6733921353.9,3564070760.88,1749926712.36,12417112224.11,8534176058.73,5930082135.75,1842217025.95,12469721762.97,8384279494.08,6390208227.55,3201945182.96,3473877431.53,1894809659.92,979669112.65,481268942.88,3627862822.44,2237045701.06,1625302994.12,865836241.34,2716832699.3,1761437527.4,1318744817.64,901800041.43,3118888618.75,2214582692.57,1705026335.43,478841849.93,2556286940.01,1903958021.44,1246554646.44,715897953.14,2253519305.67,1954908335.42,1323795542.82,711750646.99,4824541742.17,3847361529.91,3695449037.32,34997779.31,850315890.42,276582572.26,226964548.81,61016777.82,770802292.77,374538189.71,222834553.0,87548868.47,4067263621.8,2829110656.35,98906268.05,58237823.39,7829737370.16,2398106141.6,37564252.55,8023750.57,11511619642.89,11424967567.83,5641768875.54,11589874.75,23615027829.88,20055741074.98,31224264.02,17755230.0,155083873.27,85158741.5,42599883.7,16101876.53,10591390789.46,10542583970.74,10512173757.99,31202463.69,232095364.42,216609218.77,129819504.39,84384043.32,10047262121.91,9927591036.06,9848461437.38,4911128438.91,308638797.27,197430835.33,133590425.67,40895267.74,18995146281.8,121334192.46
42,CPaidInvest,投资支付的现金,投资支付的现金,2,0,金额类,,5018991039.67,4111153751.6,3038980630.95,49122067036.48,33698429463.83,12424931963.35,6574060952.38,76239748510.66,65044666242.93,51848314190.49,16133667581.68,115432281989.81,82704458357.85,36898672863.5,17326273330.08,145340651877.96,113161443922.61,86103702057.48,41096889620.8,101333734312.21,74720274898.19,49825863799.56,25379192513.83,79807613734.58,62753115376.29,43928138377.99,19512638381.74,64948937631.78,34511941842.08,19764665431.15,11668065151.32,78018248939.67,55051120152.08,22689592584.65,4472222141.48,6253138308.63,3361525250.62,1385378405.96,332117935.96,572966621.42,437076466.42,7780800.0,,848055828.96,210964337.52,,,1019862620.0,1019882620.0,1019862620.0,1019862620.0,5234548480.0,5234528480.0,2608828120.0,2000200120.0,5439631230.19,5349631230.19,5534052618.96,3818108208.08,7410906246.3,3749921748.08,970878848.92,,6657731743.2,5412068460.0,1020000000.0,,15188011177.73,9182849175.0,6168232590.0,5496341820.0,6745735763.4,6744976743.4,5292596926.4,190000000.0,1513562759.77,102472341.26,,,700000000.0,700000000.0,500000000.0,200000000.0,5918905865.0,4536192000.0,1285847800.0,0.0,291813560.0,0.0
43,NIncrPledgeLoan,质押贷款净增加额,质押贷款净增加额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,NCPaidAcquis,取得子公司及其他营业单位支付的现金净额,取得子公司及其他营业单位支付的现金净额,2,0,金额类,,,,,1101820343.21,1099838606.28,1132513046.01,287690000.0,601993748.44,64387062400.0,64387062400.0,64387062400.0,,,,,,,,,24000543409.77,24295526205.69,24919784717.56,,,,,,,,,,,,,,37455158900.0,37455158900.0,37455158900.0,,,,,,,,,,,,,,,,,,,,,,,2692800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,CPaidOthInvestA,支付其他与投资活动有关的现金,支付其他与投资活动有关的现金,2,0,金额类,,,,,,,,,,,,,11295775.87,,,,,,,,190217371.81,,,,,,,,,,,,280287924.17,,,,517165804.83,,,,,,,,,,,,15117071.97,,,,,1802717.1,798751.39,,,,310168.48,,,260.5,,,,20000.0,,,,50000.0,,,,,,,,,,,,249645.24,,,34300772.78,26863870.61,12556471.21,,3537019.19,0.0
46,specCOF,投资活动现金流出的特殊项目,投资活动现金流出的特殊项目,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,ACOF,投资活动现金流出的差错金额,投资活动现金流出的差错金额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,COutfFrInvestA,投资活动现金流出小计,投资活动现金流出小计,2,0,金额类,,13370150274.2,10322708885.89,7637272442.42,64643966892.43,41532189424.01,17121515770.24,8611677664.74,89258854483.21,137965904701.66,122165458726.24,82362947007.63,127913299528.65,91088737851.93,43288881091.05,20528218513.04,148814529309.49,115056253582.53,87083371170.13,41578158563.68,129152357916.23,101252846804.94,76370951511.24,26245028755.17,82524446433.88,64514552903.69,45246883195.63,20414438423.17,68067826250.53,36726524534.65,21469691766.58,12146907001.25,80854823803.85,56955078173.52,23936147231.09,5188120094.62,46478982319.13,42771592486.04,40164332848.78,1043868582.95,5397508363.59,4284437996.33,3703229837.32,34997779.31,1698371719.38,487546909.78,226964548.81,61016777.82,1805781984.74,1394420809.71,1242697173.0,1107411488.47,9301812101.8,8065441853.45,2708533139.44,2058437943.39,13269368600.35,7747737371.79,5571927039.99,3826131958.65,18922525889.19,15177582376.41,6612647724.46,11589874.75,30272759573.08,25467829534.98,1051224264.02,17755230.0,15343095051.0,9268057916.5,6210832473.7,5512443696.53,17337126552.86,17287560714.14,15804770684.39,221202463.69,1745658124.19,319081560.03,129819504.39,84384043.32,10747262121.91,10627840681.3,10348461437.38,5111128438.91,6261845435.05,4760486705.94,1431994696.88,40895267.74,19290496860.99,121334192.46
49,ANICF,投资活动现金流量净额的差错金额,投资活动现金流量净额的差错金额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,NCFFrInvestA,投资活动产生的现金流量净额,投资活动产生的现金流量净额,2,0,金额类,,-6640657422.17,-5575899352.96,-4865959155.05,-10775203354.2,-5678704744.56,-3892773120.54,-2150034057.22,-12990532767.5,-73728393978.43,-71488255262.57,-66683656459.37,-11701815857.2,-7695481532.21,-8564185344.79,-2417469861.9,-6565209402.8,-4174855469.11,-3880218988.79,-5325344931.66,-36037256431.23,-32881242485.35,-32334423725.09,-5241835535.19,-6631454496.45,-2842541116.88,-3504854863.71,-2844019025.66,-9226104571.12,-4958750231.4,-3741540503.06,-1964051982.74,-9795177064.16,-8687718617.88,-3700100186.6,-3484384839.86,-44229742154.81,-42104600895.83,-39962183988.55,-1039819594.59,-3009527374.51,-2237516644.76,-2105050115.25,1108234063.43,-828758790.69,192985369.09,18805905.89,93920764.78,543888401.38,179013634.27,-33559871.04,-1094331475.54,-4030536471.25,-3733858993.42,-306102183.84,61562171.15,-5345804561.36,-338799270.0,1310410005.04,147178037.44,-12920892753.37,-12240851365.03,-5186266262.23,988686091.15,-23722328531.8,-19986108762.59,-48368411.88,827115000.84,-653488839.24,24386060.77,-45954360.06,-6799666.72,-12695766552.17,-14069703574.03,-13048326016.84,-219686130.83,-222789373.33,-11144825.53,177889784.39,13371988.32,-9524637493.42,-9417823572.45,-9394453248.38,-4889006031.41,-2713122615.37,-2210270015.35,-240501947.16,256804091.44,-19279695135.59,-121334192.46
51,CF_FR_FINAN_A,筹资活动产生的现金流量,筹资活动产生的现金流量,1,3,分组/标题,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,CFrCapContr,吸收投资收到的现金,吸收投资收到的现金,2,0,金额类,,90000000.0,90000000.0,51000000.0,146860000.0,146860000.0,68360000.0,68360000.0,16495456960.43,16392255710.43,16392255710.43,222500000.0,8027440000.0,8032451200.0,8005452200.0,8000000000.0,155000000.0,155000000.0,152500000.0,,14931906615.82,,,,,,,,27495083.32,21923200.71,25620895.98,25533163.92,88200000.0,88200000.0,88200000.0,88200000.0,24325456000.0,24325456000.0,24025456000.0,8000000.0,629800000.0,600000000.0,600000000.0,,,,,,,,,,900000.0,900000.0,900000.0,,,,,,,,,,,3457294328.36,,,,,,,10484967979.78,10484967979.78,6526832979.78,,,,,,,,,,,,,,9885537478.81,0.0
53,CFrMinoSSubs,其中:子公司吸收少数股东投资收到的现金,  其中:子公司吸收少数股东投资收到的现金,2,0,金额类,,90000000.0,90000000.0,51000000.0,146860000.0,146860000.0,68360000.0,68360000.0,419872000.0,297170750.0,297170750.0,177500000.0,2427440000.0,2432451200.0,2405452200.0,8000000000.0,155000000.0,155000000.0,152500000.0,,1476545673.69,,,,,,,,27495083.32,21923200.71,25620895.98,25533163.92,88200000.0,88200000.0,88200000.0,88200000.0,308000000.0,308000000.0,8000000.0,8000000.0,629800000.0,,,,,,,,,,,,900000.0,900000.0,900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,CFrBorr,取得借款收到的现金,取得借款收到的现金,2,0,金额类,,141250791598.32,107328006877.24,26767086254.2,128962078655.79,110985262080.23,67761652768.21,10937442851.51,153335092218.76,136899849501.85,95020053285.0,80514921069.67,90631526690.29,73823900630.29,29376897486.04,24957328800.0,78053784848.58,69249396400.0,33399143464.39,20153570017.71,99092695765.97,83689761862.62,56312036160.29,23100000000.0,87122964416.74,72659195743.0,46565655623.0,31363252596.0,73096200000.0,60796200000.0,48800000000.0,14100000000.0,70120000000.0,63318000000.0,24020000000.0,14120000000.0,75232606284.47,56365790898.62,37350000000.0,16800000000.0,32300000000.0,30300000000.0,21800000000.0,5500000000.0,39250000000.0,39250000000.0,9000000000.0,4000000000.0,28400000000.0,27900000000.0,19900000000.0,5400000000.0,45500000000.0,43500000000.0,14000000000.0,5500000000.0,31440000000.0,26920000000.0,10910000000.0,3500000000.0,45190000000.0,45179500000.0,27490000000.0,11000000000.0,36453700000.0,33000000000.0,,,10010000000.0,8000000000.0,5500000000.0,4700000000.0,12442250000.0,12442250000.0,12442250000.0,4526000000.0,7822000000.0,7122000000.0,4207300000.0,3707300000.0,9500000000.0,9500000000.0,9500000000.0,4600000000.0,,,,,18000000000.0,50000000.0
55,CFrIssueBond,发行债券收到的现金,发行债券收到的现金,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,CFrOthFinanA,收到其他与筹资活动有关的现金,收到其他与筹资活动有关的现金,2,0,金额类,,1503873000.0,1507653000.0,,1493940000.0,1491567000.0,1491819000.0,,96720000.0,,,,,,,,1160432406.0,1164100734.0,1164568266.0,1167517314.0,5974723001.24,,,,,,,,,,,,,,,,,,,,65000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0
57,specFCIF,筹资活动现金流入的特殊项目,筹资活动现金流入的特殊项目,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,AFCIF,筹资活动现金流入的差错金额,筹资活动现金流入的差错金额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0
59,CInfFrFinanA,筹资活动现金流入小计,筹资活动现金流入小计,2,0,金额类,,142844664598.32,108925659877.24,26818086254.2,130602878655.79,112623689080.23,69321831768.21,11005802851.51,169927269179.19,153292105212.28,111412308995.43,80737421069.67,98658966690.29,81856351830.29,37382349686.04,32957328800.0,79369217254.58,70568497134.0,34716211730.39,21321087331.71,119999325383.03,83689761862.62,56312036160.29,23100000000.0,87122964416.74,72659195743.0,46565655623.0,31363252596.0,73123695083.32,60818123200.71,48825620895.98,14125533163.92,70208200000.0,63406200000.0,24108200000.0,14208200000.0,99558062284.47,80691246898.62,61375456000.0,16808000000.0,32994800000.0,30900000000.0,22400000000.0,5500000000.0,39250000000.0,39250000000.0,9000000000.0,4000000000.0,28400000000.0,27900000000.0,19900000000.0,5400000000.0,45500900000.0,43500900000.0,14000900000.0,5500000000.0,31440000000.0,26920000000.0,10910000000.0,3500000000.0,45190000000.0,45179500000.0,27490000000.0,11000000000.0,36453700000.0,36457294328.36,,,10010000000.0,8000000000.0,5500000000.0,4700000000.0,22927217979.78,22927217979.78,18969082979.78,4526000000.0,7822000000.0,7122000000.0,4207300000.0,3707300000.0,9500000000.0,9500000000.0,9500000000.0,4600000000.0,0.0,0.0,0.0,0.0,27885537478.81,50000000.0
60,CPaidForDebts,偿还债务支付的现金,偿还债务支付的现金,2,0,金额类,,141283032372.87,112450753270.65,26282963164.84,144184043996.25,122101276888.72,76594335625.2,17538186656.42,123635147482.54,85508170115.45,53003672861.96,17503377478.99,83436440393.93,68078272637.68,32651932871.26,27746052858.04,80388318465.26,64798729700.0,35972808927.06,21688698157.25,95990337350.22,51661306062.79,32683963131.69,22208000000.0,81704081939.0,62823396041.0,42600000000.0,25900000000.0,73156600699.31,57456600699.31,38456600699.31,17102009809.6,64931190887.0,48330454525.35,24736772942.12,13080088659.83,68896499540.06,44721212521.56,24255386789.73,15340358318.79,39577317823.68,39799010425.54,22868527503.44,5968014593.97,50722383282.37,44520985183.85,13175745180.69,6095358395.79,36853423435.43,30244626504.34,21128424073.93,4497875552.39,56268719837.19,49436421750.7,18836515537.73,9098986183.88,31209615273.21,28418961579.01,11748297707.91,2873386282.69,41820338174.19,36770290015.59,25063757583.95,14807164402.93,17756514719.95,17500000000.0,3000000000.0,1000000000.0,12472250000.0,9962250000.0,7942250000.0,5526000000.0,11842000000.0,7142000000.0,6177300000.0,3177300000.0,8590000000.0,8100000000.0,4150000000.0,3650000000.0,3080000000.0,80000000.0,80000000.0,80000000.0,90000000.0,90000000.0,90000000.0,50000000.0,10265000000.0,665000000.0
61,CPaidDivProfInt,分配股利、利润或偿付利息支付的现金,分配股利、利润或偿付利息支付的现金,2,0,金额类,,32135745769.92,10136277485.69,7887529917.77,31633479332.54,29255563058.38,5748198624.31,3125419101.58,35678935583.57,32714345547.13,8911216431.27,3452374009.01,34646322332.41,32061446931.3,10105469213.12,7973240415.52,20007782816.36,19220076671.75,1575636726.73,936536188.38,19291552358.96,18131680667.72,1402645918.16,863147783.33,18643807212.31,17800272966.12,1198489850.45,627198661.82,18946766585.68,18007965037.14,16349058369.67,729411752.48,19591328944.73,18773161798.9,1356600193.56,745185077.07,17346041596.52,16039195989.05,6459387867.98,5080043398.08,22239959946.52,17649141859.3,14896191939.29,433501992.4,8086775886.27,7370021684.66,1265646457.03,620932897.55,9407190510.15,8454496490.06,1695381525.27,823278173.82,8809525369.05,7940961536.87,1831141663.77,1063224315.55,8407670132.18,7345601896.4,5605880161.63,638176549.39,7899605709.33,6978578385.21,1575500560.39,712310676.5,3772393146.0,2542071286.85,287073626.78,49900000.0,3835191517.58,3485878128.61,421058076.94,142377796.94,3012248030.35,2719197730.08,2616882013.28,138183810.0,2127129064.03,1895599746.4,1864091426.4,52849800.0,3841915159.21,3484532933.84,2003160038.51,109443757.5,1389146606.66,1282249353.35,1174859841.46,105885887.5,114943106.11,7097375.0
62,divProfSubsMinoS,其中:子公司支付给少数股东的股利、利润,  其中:子公司支付给少数股东的股利、利润,2,0,金额类,,616402491.89,103164923.7,92490716.7,125455490.82,124232909.63,101135993.68,47529540.16,1114815709.39,1017249504.14,922205904.0,80498490.93,1724524259.43,1560634872.8,1503614580.86,5000000000.0,27100257.89,17938874.71,11754177.98,,108579541.22,53956492.26,2940000.0,,2592739.85,2242964.0,,,1416347.61,1246420.0,1246420.35,,148344.32,,,,2056651949.97,,,,2129505575.01,,,,103247.68,,,,97402.65,,,,206847.51,,,,,,,,255000.0,245000.0,245000.0,,953416.57,702166.57,702166.57,,7932678.42,7912678.52,,,,,,,,,,,,,,,,,,,,0.0
63,CPaidOthFinanA,支付其他与筹资活动有关的现金,支付其他与筹资活动有关的现金,2,0,金额类,,1930848144.29,1915978732.38,34585892.31,4979106125.14,4488102098.24,4321883295.93,48837211.2,65216717718.08,628254424.01,620877040.28,549495811.54,12144735080.24,9867063115.98,3099176902.19,167191086.41,7353856997.34,4280355765.89,4231303659.69,252444764.42,7724761705.94,7585187698.62,1632381891.11,252978156.44,14648665135.5,14398994208.71,11116207569.83,7396992221.27,11493584948.5,6728080151.27,2932240527.15,1212297976.26,13718193325.23,12459497317.04,5984798632.53,2336682213.2,9245208019.01,5840325289.07,2935006895.25,1489418552.76,9016828477.04,7325952.53,2054002.19,3161032.53,55363631.4,37952467.29,22628212.49,4684030.0,58706192.75,50802996.32,35475791.43,8286435.96,60655210.0,41822901.26,39854015.0,16907515.0,71125491.56,56360000.0,16457096.41,14276766.61,88772936.53,80300871.18,33335000.0,406337.07,323532.5,253532.5,52495.0,52495.0,21461450.0,21391450.0,11080750.0,4000000.0,25925000.0,21380000.0,16580000.0,300000.0,20350000.0,20280000.0,12460000.0,12460000.0,,,,,,,,,63444813.88,63130413.88
64,specFCOF,筹资活动现金流出的特殊项目,筹资活动现金流出的特殊项目,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,AFCOF,筹资活动现金流出的差错金额,筹资活动现金流出的差错金额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,COutfFrFinanA,筹资活动现金流出小计,筹资活动现金流出小计,2,0,金额类,,175349626287.08,124503009488.72,34205078974.92,180796629453.93,155844942045.34,86664417545.44,20712442969.2,224530800784.19,118850770086.59,62535766333.51,21505247299.54,130227497806.58,110006782684.96,45856578986.57,35886484359.97,107749958278.96,88299162137.64,41779749313.48,22877679110.05,123006651415.12,77378174429.13,35718990940.96,23324125939.77,114996554286.81,95022663215.83,54914697420.28,33924190883.09,103596952233.49,82192645887.72,57737899596.13,19043719538.34,98240713156.96,79563113641.29,32078171768.21,16161955950.1,95487749155.59,66600733799.68,33649781552.96,21909820269.63,70834106247.24,57455478237.37,37766773444.92,6404677618.9,58864522800.04,51928959335.8,14464019850.21,6720975323.34,46319320138.33,38749925990.72,22859281390.63,5329440162.17,65138900416.24,57419206188.83,20707511216.5,10179118014.43,39688410896.95,35820923475.41,17370634965.95,3525839598.69,49808716820.05,43829169271.98,26672593144.34,15519881416.5,21529231398.45,20042324819.35,3287126121.78,1049952495.0,16328902967.58,13469519578.61,8374388826.94,5672377796.94,14880173030.35,9882577730.08,8810762013.28,3315783810.0,10737479064.03,10015879746.4,6026551426.4,3715309800.0,6921915159.21,3564532933.84,2083160038.51,189443757.5,1479146606.66,1372249353.35,1264859841.46,155885887.5,10443387919.99,735227788.88
67,ANFCF,筹资活动现金流量净额的差错金额,筹资活动现金流量净额的差错金额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
