序号,字段代码,字段名称,展示名称,层级,单位代码,单位说明,展示口径,公式,2025三季报,2025半年报,2025一季报,2024年报,2024三季报,2024半年报,2024一季报,2023年报,2023三季报,2023半年报,2023一季报,2022年报,2022三季报,2022半年报,2022一季报,2021年报,2021三季报,2021半年报,2021一季报,2020年报,2019年报,2018年报
28,aJInvestIncome,其中:对联营企业和合营企业的投资收益,  其中:对联营企业和合营企业的投资收益,2,0,金额类,亿元,,-7.63,-8.24,-0.49,18.36,12.31,5.62,2.76,19.31,13.02,8.47,4.99,19.11,14.64,8.65,-4.46,3.46,5.08,4.69,0.54,-6.32,10.027065,-51.869756
29,tafQuitGain,以摊余成本计量的金融资产终止确认收益,  以摊余成本计量的金融资产终止确认收益,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
30,netExpHIncome,净敞口套期收益,净敞口套期收益,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
31,fValueChgGain,公允价值变动收益,公允价值变动收益,2,0,金额类,亿元,,5.15,3.83,1.97,45.97,9.8,7.09,0.56,3.0,4.83,9.17,5.53,-7.05,1.5,5.62,-0.57,7.79,4.17,6.0,1.51,-11.92,-13.118639,8.363209
32,assetsImpairLoss,资产减值损失,资产减值损失,2,0,金额类,亿元,,-0.65,-0.59,0.02,-80.47,-0.18,-0.02,-0.24,-35.23,-3.24,-3.02,-0.04,-6.77,-1.15,-1.02,-0.04,-79.63,-0.64,-0.61,0.01,-65.72,-20.361337,-5.924423
33,creditImpairLoss,信用减值损失,信用减值损失,2,0,金额类,亿元,,-0.09,,0.02,-0.29,-0.27,-0.32,-0.01,-0.74,0.05,0.02,0.03,0.11,0.03,-0.01,0.01,0.06,0.05,0.04,0.07,13.73,-0.574552,-0.728615
34,assetsDispGain,资产处置收益,资产处置收益,2,0,金额类,亿元,,0.07,0.07,0.02,0.31,0.25,0.27,0.03,-1.17,-0.02,0.02,0.02,-0.12,0.14,0.14,0.03,-0.49,,,,0.02,1.584653,-0.337165
35,forexGain,汇兑收益,汇兑收益,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
36,othEffectOp,影响营业利润的特殊项目,影响营业利润的特殊项目,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
37,aeEffectOp,影响营业利润的差错金额,影响营业利润的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
38,operateProfit,营业利润,营业利润,1,0,金额类,亿元,,1394.15,948.19,499.27,1899.64,1543.99,1058.37,525.97,1728.91,1331.71,867.36,433.47,1949.25,1498.27,980.35,459.54,958.04,713.33,449.67,203.63,347.66,854.245895,743.968971
39,noperateIncome,营业外收入,营业外收入,2,0,金额类,亿元,,1.2,0.92,0.37,3.98,1.62,0.85,0.39,5.1,0.77,0.55,0.27,1.61,1.48,1.21,0.4,2.06,0.86,0.78,0.19,3.73,4.889749,10.029359
40,noperateExp,营业外支出,营业外支出,2,0,金额类,亿元,,4.06,2.52,1.32,3.86,1.76,1.46,0.99,4.27,2.93,1.69,1.05,3.16,2.82,2.58,0.68,1.89,1.02,0.72,0.64,2.32,2.642914,2.41695
41,ncaDisploss,其中:非流动资产处置损失,  其中:非流动资产处置损失,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
42,othEffectTp,影响利润总额的特殊项目,影响利润总额的特殊项目,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
43,aeEffectTp,影响利润总额的差错金额,影响利润总额的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
